place,address,city,state,zip,description,img,card
Apollo Pizza & Beer Emporium,228 S 2nd St ,Richmond,KY,40475,No Description,http://www.lexbeerscene.com/images/localestablishments/29.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/29.png'><br>228 S 2nd St <br>Richmond, KY 40475<br><em>No Description</em>"
Arcadium Bar,574 N Limestone ,Lexington,KY,40508,"Located in a historic building on North Limestone. Features 20 craft beers on tap and one cask ale. They also have 20 classic 1980ﾒs arcade games such as Asteroid, Centipede, Donkey Kong, Galaga, etc, all playable for $0.25. They also offer one of the best Bloody Mary barﾒs in Lexington on Sundays only.",http://www.lexbeerscene.com/images/localestablishments/18.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/18.png'><br>574 N Limestone <br>Lexington, KY 40508<br><em>Located in a historic building on North Limestone. Features 20 craft beers on tap and one cask ale. They also have 20 classic 1980ﾒs arcade games such as Asteroid, Centipede, Donkey Kong, Galaga, etc, all playable for $0.25. They also offer one of the best Bloody Mary barﾒs in Lexington on Sundays only.</em>"
Blue Stallion,610 W 3rd St,Lexington,KY,40508,"Located on the corner of 3rd Street and Newtown Pike, Blue Stallion Brewing Company specializes in crafting quality European-style lagers and ales with a German theme throughout the brewery. Their beautiful copper-clad brewing system is viewable adjacent to the incredibly tall bar. Munich Dunkel, German Pilsner, and Smoked Lager are several of their signature brews. Typically 10-12 of their own brews on tap and guest beers fill up the remainder of their beer menu.",http://www.lexbeerscene.com/images/localestablishments/16.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/16.png'><br>610 W 3rd St<br>Lexington, KY 40508<br><em>Located on the corner of 3rd Street and Newtown Pike, Blue Stallion Brewing Company specializes in crafting quality European-style lagers and ales with a German theme throughout the brewery. Their beautiful copper-clad brewing system is viewable adjacent to the incredibly tall bar. Munich Dunkel, German Pilsner, and Smoked Lager are several of their signature brews. Typically 10-12 of their own brews on tap and guest beers fill up the remainder of their beer menu.</em>"
Bottom of the Barrel,2313 Woodhill Dr,Lexington,KY,40516,No Description,http://www.lexbeerscene.com/images/localestablishments/BottomOfTheBarrel.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/BottomOfTheBarrel.png'><br>2313 Woodhill Dr<br>Lexington, KY 40516<br><em>No Description</em>"
BRU Burger Bar,3010 Lakecrest Circle,Lexington,KY,40513,BRU opened in 2014 adjacent to Liquor Barn in Beaumont Center. BRU offers a specially crafted hamburger menu and a wide selection of 16 craft beers on tap. ,http://www.lexbeerscene.com/images/localestablishments/25.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/25.png'><br>3010 Lakecrest Circle<br>Lexington, KY 40513<br><em>BRU opened in 2014 adjacent to Liquor Barn in Beaumont Center. BRU offers a specially crafted hamburger menu and a wide selection of 16 craft beers on tap. </em>"
Buffalo Wild Wings,3090 Old Todds Rd ,Lexington,KY,,No Description,http://www.lexbeerscene.com/images/localestablishments/28.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/28.png'><br>3090 Old Todds Rd <br>Lexington, KY <br><em>No Description</em>"
Chase Brewing Co.,266 Jefferson St ,Lexington,KY,40508,Chase Brewing is located in the emerging Jefferson Street corridor at the corner of 3rd St & Jefferson. Chase has a full bar and serves stone baked pizzas.,http://www.lexbeerscene.com/images/localestablishments/8.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/8.png'><br>266 Jefferson St <br>Lexington, KY 40508<br><em>Chase Brewing is located in the emerging Jefferson Street corridor at the corner of 3rd St & Jefferson. Chase has a full bar and serves stone baked pizzas.</em>"
Country Boy Brewing,436 Chair Ave,Lexington,KY,40508,"Country Boy Brewing opened in February 2012 and has been vital in the beer revolution of Lexington, KY. Always willing to try new things- The Country Boys make beers with local fruits, vegetables and hops and are masters of barrel aging. The tap room typically features 12-14 of their own and the remainder of the 24 taps are filled with great regional craft beers.",http://www.lexbeerscene.com/images/localestablishments/4.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/4.png'><br>436 Chair Ave<br>Lexington, KY 40508<br><em>Country Boy Brewing opened in February 2012 and has been vital in the beer revolution of Lexington, KY. Always willing to try new things- The Country Boys make beers with local fruits, vegetables and hops and are masters of barrel aging. The tap room typically features 12-14 of their own and the remainder of the 24 taps are filled with great regional craft beers.</em>"
Drake's,3347 Tates Creek Rd ,Lexington,KY,40502,No Description,http://www.lexbeerscene.com/images/localestablishments/19.jpg,"<img src='http://www.lexbeerscene.com/images/localestablishments/19.jpg'><br>3347 Tates Creek Rd <br>Lexington, KY 40502<br><em>No Description</em>"
Ethereal Brewing,1224 Manchester St ,Lexington,KY,40508,No Description,http://www.lexbeerscene.com/images/localestablishments/33.png,"<img src='http://www.lexbeerscene.com/images/localestablishments/33.png'><br>1224 Manchester St <br>Lexington, KY 40508<br><em>No Description</em>"
